               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14209,            0.020797,            0.057533,                   0,                   0,                   0,                   0,             0.13051,            0.019133,            0.056455,              0.0721,              0.0031,              0.0031
                   1,             0.13039,            0.016144,             0.05377,           9.859e-05,            0.011905,          5.3454e-05,          1.0691e-05,             0.12412,            0.017305,            0.050938,            0.043284,           0.0062844,           0.0062844
                   2,             0.12722,            0.012136,            0.051392,            0.001217,             0.13946,           0.0012841,           0.0003136,             0.11889,            0.016823,            0.047179,            0.014453,            0.009453,            0.009453
                   3,             0.12501,            0.010567,            0.048302,            0.001464,             0.15986,           0.0046353,           0.0014612,             0.12093,            0.014513,            0.045085,           0.0099258,           0.0099258,           0.0099258
                   4,             0.12679,            0.010688,            0.044958,           0.0032903,             0.41497,             0.18679,            0.078165,             0.12012,            0.013499,            0.041726,           0.0099258,           0.0099258,           0.0099258
                   5,             0.12286,           0.0098253,            0.040945,           0.0023162,             0.37075,             0.20365,            0.070601,             0.11954,            0.012927,            0.038255,            0.009901,            0.009901,            0.009901
                   6,              0.1235,           0.0096579,            0.038928,           0.0032977,             0.41837,             0.23665,            0.073905,             0.11755,             0.01301,             0.03489,           0.0098763,           0.0098763,           0.0098763
                   7,             0.11645,           0.0096654,             0.03753,             0.48562,             0.15476,             0.19561,            0.060155,             0.11562,            0.012935,             0.03619,           0.0098515,           0.0098515,           0.0098515
                   8,             0.11989,           0.0086044,            0.035078,             0.80657,             0.16327,             0.20799,            0.062129,             0.11494,            0.012167,            0.027915,           0.0098268,           0.0098268,           0.0098268
                   9,              0.1208,           0.0086932,             0.03099,             0.88345,             0.19048,             0.22971,            0.090135,             0.11178,            0.012974,            0.025045,            0.009802,            0.009802,            0.009802
                  10,             0.12168,           0.0092247,            0.026062,              0.8872,             0.17456,             0.20152,            0.098872,             0.11477,            0.011918,            0.023001,           0.0097773,           0.0097773,           0.0097773
                  11,             0.11933,           0.0085943,            0.028001,             0.78746,             0.17857,             0.25602,            0.098588,             0.10732,            0.013268,            0.024009,           0.0097525,           0.0097525,           0.0097525
                  12,             0.11925,           0.0082013,            0.025562,             0.82721,             0.19898,             0.22279,            0.076015,              0.1103,             0.01344,            0.022248,           0.0097278,           0.0097278,           0.0097278
                  13,             0.11936,           0.0086273,            0.026117,             0.73752,             0.16276,              0.2529,            0.089508,             0.11214,            0.012942,            0.024588,            0.009703,            0.009703,            0.009703
                  14,             0.11262,            0.010498,            0.021862,             0.78799,             0.11314,             0.12208,            0.038577,             0.11159,            0.012657,            0.021676,           0.0096783,           0.0096783,           0.0096783
                  15,              0.1109,           0.0093437,            0.023636,             0.54987,             0.31803,             0.16712,            0.046407,             0.10566,             0.01325,            0.023035,           0.0096535,           0.0096535,           0.0096535
                  16,             0.10974,            0.010198,            0.022806,             0.58868,             0.17177,             0.14588,            0.046509,             0.10905,            0.012451,            0.021617,           0.0096288,           0.0096288,           0.0096288
                  17,             0.11496,           0.0093051,            0.020353,             0.61121,             0.21088,             0.12726,            0.026077,             0.10692,            0.013979,            0.022573,            0.009604,            0.009604,            0.009604
                  18,             0.11493,           0.0091841,            0.022032,             0.73275,             0.21088,               0.196,            0.070915,            0.099667,            0.014391,            0.018253,           0.0095793,           0.0095793,           0.0095793
                  19,             0.11054,           0.0095978,            0.019616,             0.83412,             0.14286,             0.19147,            0.051958,             0.10287,            0.015258,            0.018398,           0.0095545,           0.0095545,           0.0095545
                  20,             0.11152,           0.0088913,            0.020358,             0.89723,             0.18292,             0.20721,            0.079286,              0.1029,              0.0141,             0.02358,           0.0095298,           0.0095298,           0.0095298
                  21,              0.1057,           0.0094119,            0.019915,             0.92566,             0.10204,             0.26307,            0.070225,             0.10684,            0.011312,            0.023261,            0.009505,            0.009505,            0.009505
                  22,             0.10587,           0.0093109,            0.022502,             0.75283,             0.21074,             0.25406,            0.063636,            0.096174,            0.013619,            0.023989,           0.0094803,           0.0094803,           0.0094803
                  23,             0.10209,            0.009673,             0.02154,              0.6596,             0.13095,             0.17392,            0.044733,            0.094535,            0.013927,             0.02383,           0.0094555,           0.0094555,           0.0094555
                  24,             0.10124,            0.010621,            0.022549,             0.84295,             0.19048,             0.24517,            0.066102,            0.096003,            0.012778,            0.021958,           0.0094307,           0.0094307,           0.0094307
                  25,             0.10733,           0.0088861,             0.02142,             0.97651,             0.19048,             0.23971,            0.069356,            0.092672,            0.014558,            0.022729,            0.009406,            0.009406,            0.009406
                  26,             0.10145,           0.0091099,            0.017894,             0.61352,             0.20238,              0.2389,             0.07474,             0.10969,            0.012938,            0.022277,           0.0093813,           0.0093813,           0.0093813
                  27,             0.10346,           0.0086879,            0.021085,             0.81512,             0.16973,              0.3211,             0.13526,            0.094358,            0.014662,            0.021352,           0.0093565,           0.0093565,           0.0093565
                  28,            0.099086,           0.0093076,            0.020267,              0.7997,             0.19898,             0.31355,              0.1056,            0.096839,            0.014653,            0.023034,           0.0093317,           0.0093317,           0.0093317
                  29,             0.10343,            0.009075,             0.02016,             0.39234,              0.2466,             0.16667,            0.077142,             0.10968,            0.013574,            0.022568,            0.009307,            0.009307,            0.009307
                  30,            0.099266,           0.0095793,            0.021093,             0.56503,             0.21088,             0.14904,            0.027314,             0.10021,            0.013958,            0.019974,           0.0092823,           0.0092823,           0.0092823
                  31,            0.096288,           0.0086819,            0.020162,             0.77113,             0.23129,             0.31649,            0.095354,            0.091381,            0.014648,            0.020189,           0.0092575,           0.0092575,           0.0092575
                  32,            0.099405,           0.0091594,            0.018318,             0.46958,              0.2585,             0.32248,             0.09665,            0.095505,            0.014306,            0.019731,           0.0092327,           0.0092327,           0.0092327
                  33,            0.099194,            0.009237,            0.018549,             0.74543,             0.29932,             0.39268,             0.12305,            0.093822,            0.013804,            0.019242,            0.009208,            0.009208,            0.009208
                  34,            0.094343,           0.0096623,            0.017107,             0.65333,             0.23469,             0.31566,             0.11459,             0.09445,             0.01301,            0.021812,           0.0091833,           0.0091833,           0.0091833
                  35,            0.099607,           0.0094715,            0.019197,             0.51482,             0.24689,              0.2454,            0.051773,              0.1049,            0.011605,            0.021222,           0.0091585,           0.0091585,           0.0091585
                  36,            0.097086,            0.009497,            0.017365,             0.98538,             0.17857,              0.3156,            0.076591,            0.092472,            0.014065,            0.020772,           0.0091337,           0.0091337,           0.0091337
                  37,             0.09476,            0.010359,            0.019315,             0.89915,             0.21088,             0.33018,             0.14435,             0.09053,            0.014375,            0.022356,            0.009109,            0.009109,            0.009109
                  38,            0.092253,           0.0094992,            0.019891,             0.59184,             0.23899,             0.23612,            0.069328,            0.091024,            0.013661,            0.019672,           0.0090843,           0.0090843,           0.0090843
                  39,            0.093468,           0.0097443,            0.020443,             0.53319,             0.27041,             0.26063,            0.082807,            0.092728,            0.012795,            0.018245,           0.0090595,           0.0090595,           0.0090595
                  40,            0.094805,           0.0095217,            0.016817,             0.83014,             0.13946,             0.22896,            0.073947,            0.090844,            0.013689,             0.01679,           0.0090347,           0.0090347,           0.0090347
                  41,            0.095075,           0.0096291,            0.018002,             0.75435,             0.21088,             0.22963,            0.058605,            0.096726,            0.014082,            0.021129,             0.00901,             0.00901,             0.00901
                  42,            0.097948,           0.0092481,            0.019304,             0.67627,              0.2432,             0.24951,            0.081349,            0.095378,            0.013142,            0.017557,           0.0089853,           0.0089853,           0.0089853
                  43,            0.091426,           0.0089543,            0.018757,             0.78834,              0.2585,             0.33574,             0.11633,            0.091713,            0.012951,            0.017297,           0.0089605,           0.0089605,           0.0089605
                  44,            0.088588,           0.0098317,            0.021569,             0.28308,             0.34184,             0.19201,            0.071744,            0.095432,            0.013927,            0.017864,           0.0089358,           0.0089358,           0.0089358
                  45,            0.092957,           0.0094444,            0.019783,             0.55296,             0.23469,             0.12548,            0.047048,            0.095656,            0.014463,            0.019687,            0.008911,            0.008911,            0.008911
                  46,            0.088739,           0.0088175,            0.018614,             0.77142,             0.21088,             0.30117,            0.099208,            0.089558,            0.014793,            0.017986,           0.0088863,           0.0088863,           0.0088863
                  47,            0.092802,           0.0099744,            0.017169,             0.67258,             0.22914,             0.27601,             0.11339,            0.089788,            0.014736,            0.020712,           0.0088615,           0.0088615,           0.0088615
